,id,uri,song_name,artist_name,key,mode,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo,valence,duration_ms,time_signature,popularity
1989,01VzuxoBYMAJLObfU0w6dI,spotify:track:01VzuxoBYMAJLObfU0w6dI,ADDICTIONS (FEAT. Tre' Amani),Brent Faiyaz,10,0,0.889,0.489,-8.587,0.0209,0.108,1.78e-05,0.0814,93.039,0.843,192011,4,71
1990,76Nm6QNruFMrQc3HWTfreR,spotify:track:76Nm6QNruFMrQc3HWTfreR,IYKYK (feat. Ella Mai & A Boogie Wit Da Hoodie),Lil Durk,9,0,0.457,0.595,-9.796,0.0657,0.0704,0.0,0.0941,82.549,0.267,183020,4,54
1991,7Itze7sYhdjEQ4yD1qS1Ox,spotify:track:7Itze7sYhdjEQ4yD1qS1Ox,Mind Games,Vory,1,0,0.659,0.615,-7.471,0.0745,0.273,0.0,0.0705,88.428,0.435,217219,4,45
1992,0SyHqKuXo2wuDgPJiHD2wx,spotify:track:0SyHqKuXo2wuDgPJiHD2wx,WILDIN,Joony,10,0,0.61,0.391,-9.344,0.892,0.0502,0.31,0.147,99.861,0.636,120000,4,39
1993,4MQnXVR8DJvsySuXYuzUtf,spotify:track:4MQnXVR8DJvsySuXYuzUtf,Denial,Rae Sremmurd,7,1,0.656,0.597,-7.745,0.0861,0.298,0.0,0.122,91.956,0.277,180000,4,60
1994,0u2A4QNAMUyfQbgfVR3HvK,spotify:track:0u2A4QNAMUyfQbgfVR3HvK,Cough (Odo),Kizz Daniel,5,0,0.891,0.692,-6.321,0.173,0.0483,0.132,0.0939,109.944,0.895,176135,4,72
1995,1DA2ADZs6O28y2rmdmpekw,spotify:track:1DA2ADZs6O28y2rmdmpekw,2 Sugar (feat. Ayra Starr),Wizkid,6,0,0.914,0.643,-3.862,0.0498,0.134,0.0,0.0618,105.033,0.764,187907,4,72
1996,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,10,0,0.649,0.655,-5.534,0.307,0.0652,0.0,0.22,92.9,0.793,147581,4,85
1997,1rrqJ9QkOBYJlsZgqqwxgB,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,1,1,0.792,0.503,-8.044,0.0369,0.0626,0.00057,0.0959,99.97,0.381,185093,4,74
1998,7IQbOBVEQTb3lGNNi1e71i,spotify:track:7IQbOBVEQTb3lGNNi1e71i,Tsela Tse Nyane,Focalistic,10,1,0.897,0.428,-13.474,0.0325,0.063,0.00591,0.089,112.012,0.156,446574,4,41
